對應場景專案,技術路徑選擇,核心模型配置,敏感資料防線,主動安全防禦,合規審計稽核
電鍍能耗向量化對接,本地地端 RAG + 向量資料庫檢索,Llama-3-8B-Instruct (地端私有部署) + BGE-M3 向量模型,DLP去識別化網閘 (自動遮罩 Airbus 品牌名稱、吉翔航太名稱及機密價格),API 算力財務熔斷 (單月 Token 算力超標 150 美元自動中斷警報),雙簽核准門閘 (製程工程師技術簽 + 業務主管 Candy 商務簽始得出站)
冷鐓機沖頭壽命預警,本地地端 CNN-XGBoost 聲學分析模型 + 指向性防磁麥克風,CNN 聲學包絡分類器 + XGBoost 磨損預測模型,DLP去識別化網閘 (自動遮罩 [龍門冷鐓] 公司名稱與特定客戶螺帽規格料號),黃金眼信心熔斷 (信心度低於 85% 瀕死區，樹莓派 GPIO 發送斷電指令),雙簽重啟門閘 (AI 物理熔斷後，必須運維阿忠與製造主管雙簽始能重啟機台)
車間語音報工系統,7吋紅綠燈螢幕 + 物理一鍵確認按鈕 + Whisper ASR 語音轉譯,Whisper-Large-v3 (本地地端微調台國對照版),語音地端防線 (語音報工錄音僅限地端區域網轉譯，100% 物理隔離公有雲),Loop Guard死循環防禦 (語音傳輸超時 15 秒自動物理中斷，防止算力爆表),Voice 語音日誌存檔 (保留匿名音檔與結構化文字 30 天，備查智慧製造補助)
地端 CM4 隔離分析,地端 Raspberry Pi 4 (CM4) 工業樹莓派節點,輕量化 ONNX 格式 CNN 離線異常分類器,地端物理沙盒 (所有高頻聲學特徵與電流波形僅在樹莓派處理，絕不上雲),10ms繼電器硬熔斷 (馬達實體繼電器雙軌串聯，硬體閉環瞬間拉閘),樹莓派系統日誌 (本地日誌每日定時副本單向備份至緩衝庫，供廖資訊長核實)
算力路由與 Loop Guard,本地 API 閘道計費器 + 算力 Token 路由器,Token 限流計費模組 (Rate Limiter),API金鑰物理隔離 (Token 金鑰存於本地閘道內硬體晶片，不向任何開發人員暴露),單月算力財務熔斷 (API Token 累計超標 $150 USD 自動 physical 切斷呼叫),Token 財務對位月報 (Notion 系統自動導出日報與財務帳單核實，供劉財務長審計)
出貨混料防錯主管線,"地端混合(Edge GPU 推論 + 本地伺服器訓練),完全不上公有雲","YOLOv8 視覺檢測 + PaddleOCR 文字辨識 + LayoutLMv3 版面感知,三模型並聯",DLP 遮罩網閘:客戶採購單號、批號、目的地車廠四欄位送出前替換為佔位標籤,影像加密存放(AES-256)、推論伺服器離線、遠端維運通道強制 VPN + IP 白名單,IATF 16949 供應商資安自評表對齊、影像存取日誌保存 2 年、季度第三方滲透測試
規格細部辨識子管線,"地端推論,與主管線共用 GPU",EfficientNet-B4 微調 + 螺紋細部特徵工程(節距 FFT 頻譜),規格資料庫加密、訓練資料集存取需雙人簽核,模型版本控制(MLflow)、模型權重雜湊上鏈防竄改,模型訓練紀錄與資料集版本可追溯至每一次決策
鳳姐介面與隱形標記蒐集,邊緣裝置(相機 + Raspberry Pi 紅綠燈控制盒),"規則引擎 + 信心度閾值切換(不需 ML 模型,純邏輯)","人員操作日誌僅記錄綠/黃/紅次數,不關聯個人考核扣分","紅綠燈控制器斷網運行,僅每日同步統計到本地伺服器","操作日誌作為「只加不減」獎金計算依據,人資雙簽"
包裝速度推論優化,"地端 GPU,推論延遲 SLA < 0.5 秒",TensorRT 加速、模型量化(INT8),"產線速度數據去識別化儲存,不關聯個人","推論延遲監控告警,超過 SLA 自動降級為「綠燈全放行」(保產能)",月度 SLA 報告納入專案治理
新人 AI 輔助辨識,"地端,共用主管線推論","共用主管線視覺模型,僅 UI 不同",同主管線,"新人操作日誌獨立追蹤,作為帶教效果評估",訓練曲線數據作為人資招募 KPI
標籤客戶混貼防線,"地端,共用 Layout-Aware 模型","LayoutLMv3 為主,客戶標籤格式樣本庫","客戶標籤版面樣本加密儲存,客戶間不共享","樣本庫存取雙人簽核,新增客戶需業務課 + 品保課雙方確認","每新增一個客戶格式樣本,留存簽核紀錄"
語音報工,"邊緣端地端,完全不上雲",邊緣 ASR(台國雙語微調)+ VAD + RNNoise 降噪 + 複誦規則引擎,工單號、機台號本地處理不出廠,"邊緣裝置離線運行,語音資料 24 小時後自動刪除","報工複誦確認紀錄留審計日誌,作為 HITL 問責佐證"
ISO 42001 DLP/審計日誌,地端 DMZ 隔離區,規則引擎(正則+台灣格式庫)+ 結構化日誌(JSON),客戶單號、零件圖號、批號、報價、目的地車廠強制遮罩,"DLP 網閘物理攔截,出廠前強制洗滌,雙向遮罩還原","審計日誌保存 7 年,對齊 ISO 42001 與歐盟 AI Act 可追溯要求"
ERP 唯讀緩衝,唯讀 API + 獨立資料庫複本,"無 ML,純資料管道 + 緩衝層雙簽工作流","製程數據與生產 ERP 物理隔離,AI 無寫入權限","唯讀權限白名單,寫回需人工雙簽,所有寫回留痕","ERP 寫回紀錄全程審計,符合帳務完整性稽核"
API 財務熔斷,地端 Gateway + 雲端模型混合,API Gateway + Loop Guard + 智慧路由器,"出雲請求經 DLP 洗滌,僅去識別化結構出廠","單月預算/單次 Token/迴圈偵測三重熔斷,逼近告警","每月 API 成本報告留存,供 CFO 與內稽查核"
SBIR 補助 / 產創研抵,"文件作業,顧問端輔導",LLM 輔助提案撰寫(去識別化後)+ 人工審定,"財務數據去識別化後才輔助分析,簽證資料人工處理","提案與核銷文件版本控制,佐證資料完整歸檔","核銷五大手冊 + 會計師簽證,經得起審查會與國稅局查核"
光學缺陷檢測,"地端 GPU,非侵入式外掛現有設備",YOLOv8 缺陷檢測 + 偏見校準 + 濾鏡優化 Pipeline,"檢測影像本地儲存加密,不外傳","模型版本控制 + MLflow 追蹤,權重雜湊防竄改","檢測結果與 HITL 覆核雙簽留痕,作為品質履歷"
CBAM 碳足跡 RAG,"高階任務,DLP 洗滌後路由雲端",CBAM 計算模型 + 稅則解碼 RAG(CN code 知識庫),"製程數據去識別化後出雲,申報資料人工複核","RAG 來源可追溯,生成內容加 AI Act 浮水印告知","申報草稿經會計師簽證,法源與計算方法學留附錄備查"
AI-Native 績效重塑,"制度設計,無技術系統",平衡計分卡 + 激勵規則(純制度邏輯),"員工績效數據僅內部使用,不關聯扣薪懲處","「只加不減」鐵律寫入制度,人資雙簽核定獎金","績效與獎金核定紀錄留人資檔案,符合勞動法規"
供應商退場機制,合約條款 + 定期數據備份,標準格式(JSON/CSV)備份管道,製程標記、Prompt、模型權重 100% 數據所有權歸龍圖,90 天退場通知 + 無條件轉移協助條款,"數據可攜佐證留存,符合 ISO 42001 第三方業者監督"
