對應場景專案,人機協作角色設計 (HITL),單月 API 財務告警閾值,持續維運分工 (LLMOps),技能升級與培訓,財務熔斷保護
木箱體積視覺檢測,防呆協作：AI 自動拍照偵測體積與印記 ➔ 鳳姐看紅綠燈放行 (零打字協作),"單月包裝相機硬體維護費用超標 NT$ 3,000 自動警報",每季清掃包裝檯相機鏡頭，防止粉塵與油污干擾 YOLOv8 視覺精準度,中高齡員工「紅綠燈拍照放行與異常黃燈排除」5 分鐘極簡產線實操點檢受訓,若相機解析度因粉塵掉至 70% 以下，系統亮黃燈，出箱閘物理斷電，防範漏檢漏算
缺陷誤報雙向校準,雙簽驗收：AI 分流黃閘 ➔ 一線品管一鍵覆核 ➔ 桂姐總教練每週雙簽確認,"單月地端算力託管與 API 費用累計超標 NT$ 5,000 自動報警",每半年進行 CNN 偏見校準模型重新訓練，維持良率預測精準度，由 IT 負責,品管課「偏見校準與濾鏡優化」3小時實操研討會，由陳策略長主持,瑕疵判定信心值偏離安全係數 10% 以上，系統亮黃燈，物理擋板自動鎖定，強制轉人工
有人在環瑕疵分流,有人在環：黃綠紅三閘分流，人腦黃金眼覆核黃閘，AI僅為初審助理,"單月螢幕維護與數據傳輸超標 NT$ 2,000 自動報警",每季更新 YOLOv8 目標檢測模型之缺陷標註邊界，由 IT 與品管共同簽署,一線品管員「黃金眼螢幕極簡一鍵覆核與異常排除」1 對 1 產線實操培訓,螢幕相機解析度若因粉塵掉至 70% 以下，系統自動鎖定封箱機，強制人工檢修
標記教練津貼機制,教練閉環：黃閘糾錯影像 ➔ 自動歸檔 ➔ 桂姐每週五下午 1 對 1 審核微調,"單月標記資料庫維護超標 NT$ 3,000 自動報警",每月彙整「教練標記包」，進行 ResNet 模型微調與精準度校驗，維持模型生命力,桂姐「AI 標記教練職能與地端模型一鍵微調」2日高级變革研修班培訓,若每週標記一致性低於 90%，系統強制鎖定微調權限，由孟顧問親自到廠對談輔導
物理偏振曝光濾光,物理協作：物理濾鏡成像 ➔ 自動過濾 60% 噪聲 ➔ 運維工定期擦拭,"單月相機濾鏡硬體更換超標 NT$ 4,000 自動報警",每季清掃包裝檯相機鏡頭，防止粉塵與油污干擾 YOLOv8 視覺精準度,運維技術工「物理偏振片定位與相機多頻曝光設定」現場 1 對 1 點檢培訓,物理光學噪聲若連續兩次超出警戒線 15%，封箱機實體電源自動切斷，防範漏檢漏算
廢水排污多變量預測,雙簽覆核：AI 自動監控 ➔ 化學師一鍵確認 ➔ 環保主管二次覆核簽名出站,"單月感測器與數據傳輸超標 NT$ 3,000 自動報警",每半年進行 LightGBM 廢水預測模型重新訓練，維持良率預測精準度，由 IT 負責,一線水肥工「環保螢幕極簡一鍵覆核與異常黃燈排除」現場1對1實操受訓,若廢水排污指標連續兩次偏離安全線 8%，系統自動鎖定配方推薦，強制人工接管
專家配方冠名收斂,教練閉環：AI 推薦配方 ➔ 明哥專家確認 ➔ 糾錯影像存入「教練標記包」,"單月本地伺服器維護費用超標 NT$ 5,000 自動報警",每季更新「教練標記包」至向量數據庫，進行模型微調與精準度校驗，維持模型生命力,明哥「AI 標記教練職能與地端模型一鍵微調」2日高级變革研修班培訓,若每週標記一致性低於 90%，系統強制鎖定微調權限，由孟顧問親自到廠對談輔導
電鍍良率尋優推薦,人在環中：黃綠紅三閘分流，人腦黃金眼覆核黃閘，AI僅為初審助理,"單月模型算力託管費用超標 NT$ 8,000 自動報警",每半年利用新批次化驗數據進行 LightGBM 模型重新訓練，維持良率預測精準度,現場操作工「物理偏振片定位與相機多頻曝光設定」現場 1 對 1 點檢培訓,瑕疵判定信心值偏離安全係數 10% 以上，系統亮黃燈，物理擋板自動鎖定，強制轉人工
電鍍能耗向量化對接,三層協作：AI 自動打草稿 ➔ 製程工程師技術審查簽名 ➔ Candy商務簽審出站,單月算力/API Token 累計超標 $150 USD 自動觸發財務警報,每季更新歐盟 CBAM RAG 向量庫最新稅則法規，由廠內 IT 與顧問共同維護,業務團隊「綠色貿易與 RAG 提示詞」2 小時實戰演練，由孟顧問主持,凡申報信心指數低於 92%，系統物理斷路，強制退回人工審查流程，防範天價處罰
冷鐓機沖頭壽命預警,三層協作：樹莓派地端 CNN 自動報警 ➔ 阿忠現場確認調機 ➔ 製造主管雙簽出廠確認,"單月地端運算維護與 API 累計超標 NT$ 5,000 自動報警",每半年進行 CNN-XGBoost 聲學模型重新校準與訊號譜分析，由 IT 技術課主導,阿忠及組員「高頻聲譜異常調鍛與微調排查」3小時實操工作坊，由孟顧問親訓,聲學與電流波形偏離臨界值 15% 以上，系統亮黃燈，強制物理斷電鎖定轉人工
車間語音報工系統,有人在環：阿忠大拇指按黃色物理按鈕 ➔ Voice AI 轉譯草稿 ➔ 阿忠語音說「對，出站」確認,單月算力/API Token 累計超標 $150 USD 自動觸發財務警報,每季更換指向性麥克風防塵防油网罩，優化 Whisper 模型台語詞彙，維持高精準,換模課組「一鍵紅綠燈防呆 UI 操作與語音報工排錯」現場 5 分鐘極簡實操培訓,語音指令信心度低於 85%，系統亮黃燈，出箱閘物理斷電，強制人手核實
地端 CM4 隔離分析,安全雙簽：地端樹莓派拉閘 ➔ 運維班長阿忠現場排查 ➔ 製造主管安全簽章重啟馬達,"單月緩衝庫數據流量異常超標 NT$ 2,000 自動報警",每年對工業樹莓派硬體進行除塵與 GPIO 接腳抗震檢測，維持地端節點高可用性,資訊團隊「地端樹莓派物理沙盒與唯讀 Buffer 緩衝庫運作」2 日高級資安內訓,緩衝庫寫入數據超標 10% 或出現未授權料號規格，定時單向同步管線物理關閉
算力路由與 Loop Guard,計費監控：本地 Gateway 自動限流 ➔ 單月 Token 超額自動報警 ➔ 劉財務長核實,單月 API Token 累計超標 $150 USD 自動觸發財務警報,每月導出 API 算力日誌，優化 Rate Limiter 限流參數，防止工人無效刷爆,財務團隊「B2B API 算力成本日誌導出與 Notion 帳單對照」半日操作研討會,單月 Token 超額 $150 USD 或 Loop Guard 攔截遞迴 3 次，系統物理切斷 API 呼叫
出貨混料防錯主管線,綠燈自動放行;黃燈鳳姐覆核;紅燈鳳姐 + 包裝課長雙簽,"本案地端推論無 API 月費,僅雲端模型更新流量上限 NT$ 3,000/月,超過告警","顧問端維運第 1-6 月,第 7 月起轉交客戶 IT 課,顧問每季回訪一次",鳳姐 AI 標記教練培訓(2 天)、包裝課長 AI 紅燈處置培訓(1 天)、IT 課 LLMOps 入門培訓(5 天),模型誤判率連續 3 日 > 5% 自動切回「人眼全檢」模式並通知總經理
規格細部辨識子管線,與主管線共用 HITL 流程,"同主管線,無額外 API 費用","模型每月再訓練一次,使用鳳姐隱形標記資料,訓練資源由本地伺服器承擔","鳳姐每月參與一次模型校準會,評估誤判案例","規格誤判率超標時自動降級為「全規格人工複檢」,維持產能"
鳳姐介面與隱形標記蒐集,人機角色完全顛倒:鳳姐是教師、AI 是學生,"無 API 費用,純地端規則引擎","介面 UI 由顧問端維運至 Month 6,之後由客戶內部負責","鳳姐角色培訓著重「教練心態」,每月顧問端 1 對 1 對談 90 分鐘","介面故障時自動降級為「全紅燈」(全部需人工處理),不影響出貨安全性"
包裝速度推論優化,"AI 推論延遲監控,SLA 違約自動降級","無外部 API,監控告警系統內建","推論伺服器健康度監控由 IT 課每日巡檢,異常自動通知顧問端",IT 課推論伺服器運維培訓(3 天),"推論延遲 > 1 秒持續 5 分鐘自動切「綠燈全放行」,優先保產能,事後人工抽檢"
新人 AI 輔助辨識,"新人為主、AI 為輔,新人最終決策權",無 API 費用,新人訓練 SOP 由人資課與包裝課共同維護,新人訓練教材包含 AI 輔助使用、紅綠燈判讀、向資深員工請益的標準動作,"新人未通過 AI 輔助評核時延長帶教期,不直接資遣或扣薪"
標籤客戶混貼防線,"新客戶首次出貨強制雙簽(鳳姐 + 業務窗口),3 次穩定後降為單簽",雲端模型更新流量計入主管線額度,"客戶標籤樣本庫由業務課與品保課共同維護,顧問端每季覆核",業務課「客戶標籤樣本提供」標準作業培訓(半天),"新客戶首次出貨若 AI 信心度低於 70%,強制全人工複檢,避免承擔陌生格式風險"
語音報工,"師傅複誦確認「對」才寫入,複誦即人工簽核","地端無 API 費,僅模型更新流量上限 NT$ 5,000/月","顧問端維運 1-6 月,第 7 月轉 IT 課,語料每季更新",師傅語音報工操作培訓(半天)、IT 課邊緣裝置維運(3 天),"語音系統故障自動降級人工報工,生產不中斷"
ISO 42001 DLP/審計日誌,DLP 規則異動需資安主管雙簽核定,"無 API 費,規則引擎地端運行","顧問端建置 + IT 課接手,DLP 規則季度檢視",資安主管 ISO 42001 治理培訓(2 天)、IT 課 DLP 維運(3 天),"審計日誌系統異常時 AI 推論暫停,確保零無紀錄決策"
ERP 唯讀緩衝,所有 ERP 寫回需製造課 + 資訊處雙簽,"無 API 費,唯讀對接無雲端成本","IT 課主責維運,顧問每季回訪檢視對接穩定性",IT 課唯讀對接與緩衝層工作流培訓(2 天),"對接異常自動斷開,ERP 維持原狀不受影響"
API 財務熔斷,熔斷閾值調整需 CFO 核定,"CFO 設定上限(建議首期 NT$ 30,000/月),逼近 80% 告警","IT 課監控成本儀表板,顧問端每月成本檢討",IT 課 API Gateway 與成本監控培訓(2 天),三重熔斷:預算超限熔斷、Token 超限阻斷、迴圈偵測停止
SBIR 補助 / 產創研抵,提案與核銷文件需財務長 + 會計師雙簽,"提案輔助 LLM 流量計入研抵額度,上限 NT$ 3,000/月","顧問端輔導至補助結案,研抵每年度申報協助",財務團隊核銷實務培訓(1 天)、研抵歸類培訓(半天),"核銷文件版本控制,避免事後被追款的財務風險"
光學缺陷檢測,AI 篩選 + 品管老手二次覆核雙簽放行,"地端 GPU 無 API 費,模型再訓練資源本地承擔","模型每月再訓練,品管教練每月參與校準會",品管 AI 標記教練培訓(2 天)、缺陷標記規範(半天),"光檢故障自動降級人眼全檢,品質不漏關"
CBAM 碳足跡 RAG,申報草稿經會計師簽證才送出,"RAG 出雲流量計入主額度,上限 NT$ 8,000/月","稅則 RAG 知識庫每季更新法規,顧問端協助",業務財務 CBAM 申報培訓(1 天)、稅則查詢(半天),"RAG 信心度低於閾值強制人工查核,避免申報錯誤罰款"
AI-Native 績效重塑,獎金核定需人資 + 部門主管雙簽,"無 API 費,屬制度設計","人資每季檢視績效指標有效性,顧問首年陪跑",全員 AI 績效制度說明會、主管績效面談培訓(半天),「只加不減」確保 AI 導入絕不造成任何員工減薪
供應商退場機制,重大數據轉移需法務 + 資訊處雙簽,"無直接 API 費,備份儲存成本另計",IT 課每季驗證備份完整性與可還原性,法務數據可攜條款培訓、IT 備份還原演練(1 天),"廠商斷服時 90 天緩衝 + 數據已備份,治理連續性不中斷"
